TruckNumber,Mileage,EngineTemperature,OilPressure,BreakdownRisk,InspectionDate
DT1000,104907,109,13,Medium,2026-04-09
DT1001,162931,79,32,Low,2026-05-18
DT1002,398334,118,11,Medium,2026-02-05
DT1003,403597,117,52,Low,2026-02-06
DT1004,51751,130,57,Low,2026-01-20
DT1005,445936,83,8,Medium,2026-03-24
DT1006,520099,88,10,Medium,2026-01-22
DT1007,199081,91,58,Low,2026-01-10
DT1008,501556,136,24,High,2026-04-27
DT1009,88528,114,29,Low,2026-05-26
DT1010,556421,101,60,Low,2026-05-21
DT1011,602678,115,8,High,2026-04-25
DT1012,727542,140,35,Medium,2026-06-18
DT1013,719361,137,41,Medium,2026-06-14
DT1014,442714,140,10,High,2026-06-06
DT1015,811085,85,39,Low,2026-06-09
DT1016,228390,117,29,Low,2026-05-13
DT1017,976853,84,54,Low,2026-04-13
DT1018,651010,118,9,High,2026-02-19
DT1019,142439,121,8,Medium,2026-03-08
DT1020,475427,139,54,Medium,2026-01-21
DT1021,351677,138,56,Medium,2026-06-24
DT1022,294709,136,19,Medium,2026-02-18
DT1023,516091,123,56,Medium,2026-04-02
DT1024,60645,92,37,Low,2026-02-01
DT1025,318815,120,51,Low,2026-03-14
DT1026,715078,128,8,High,2026-01-20
DT1027,115650,140,30,Medium,2026-06-03
DT1028,136932,130,8,Medium,2026-05-13
DT1029,127053,126,9,Medium,2026-03-09
DT1030,545463,79,56,Low,2026-05-11
DT1031,484185,119,9,Medium,2026-06-21
DT1032,221818,128,12,Medium,2026-06-28
DT1033,762037,93,31,Medium,2026-06-08
DT1034,830260,85,60,Low,2026-06-02
DT1035,844886,124,42,Medium,2026-03-05
DT1036,737794,112,57,Medium,2026-04-12
DT1037,182613,118,41,Low,2026-01-21
DT1038,224904,124,35,Medium,2026-01-24
DT1039,192622,133,50,Low,2026-01-12
DT1040,521569,132,27,High,2026-04-26
DT1041,861937,78,18,Medium,2026-05-11
DT1042,963723,140,43,Medium,2026-02-11
DT1043,574416,88,42,Low,2026-06-12
DT1044,285829,118,13,Medium,2026-03-17
DT1045,305054,101,28,Low,2026-03-13
DT1046,95114,139,13,Medium,2026-02-17
DT1047,259190,77,20,Low,2026-03-19
DT1048,292145,85,46,Low,2026-03-03
DT1049,407715,92,59,Low,2026-05-05
DT1050,874264,136,39,Medium,2026-06-13
DT1051,864695,78,24,Medium,2026-06-27
DT1052,918457,137,29,High,2026-04-08
DT1053,931160,139,16,High,2026-05-21
DT1054,56250,138,29,Medium,2026-06-19
DT1055,178257,81,31,Low,2026-04-12
DT1056,751442,128,28,High,2026-03-07
DT1057,857703,132,29,High,2026-02-27
DT1058,239452,123,59,Low,2026-01-27
DT1059,484873,123,40,Medium,2026-03-27
DT1060,233373,123,31,Medium,2026-01-10
DT1061,178268,108,40,Low,2026-05-11
DT1062,107578,123,11,Medium,2026-05-13
DT1063,363014,88,37,Low,2026-05-25
DT1064,790652,116,23,High,2026-06-15
DT1065,328831,131,44,Medium,2026-05-12
DT1066,310480,133,40,Medium,2026-05-09
DT1067,403557,81,19,Low,2026-01-01
DT1068,498916,138,54,Medium,2026-02-16
DT1069,611098,80,38,Low,2026-05-05
DT1070,391669,122,22,Medium,2026-05-28
DT1071,83715,134,40,Low,2026-05-25
DT1072,352734,76,28,Low,2026-06-13
DT1073,288631,83,24,Low,2026-03-06
DT1074,486267,120,35,Medium,2026-01-20
DT1075,63600,138,51,Low,2026-02-07
DT1076,98885,109,41,Low,2026-02-25
DT1077,822405,99,27,Medium,2026-04-28
DT1078,968827,134,22,High,2026-03-17
DT1079,146635,88,36,Low,2026-05-18
DT1080,634479,110,59,Medium,2026-02-17
DT1081,121067,125,34,Medium,2026-04-04
DT1082,113073,130,56,Low,2026-06-14
DT1083,592419,120,17,High,2026-04-05
DT1084,253905,102,23,Medium,2026-01-08
DT1085,268287,84,33,Low,2026-01-01
DT1086,482247,116,43,Low,2026-01-02
DT1087,308507,130,52,Medium,2026-03-06
DT1088,368960,89,26,Low,2026-06-21
DT1089,911716,116,21,High,2026-05-01
DT1090,835030,121,58,Medium,2026-02-15
DT1091,285860,128,22,Medium,2026-05-22
DT1092,505714,125,43,Medium,2026-02-13
DT1093,130812,138,10,Medium,2026-03-05
DT1094,548750,88,16,Medium,2026-01-15
DT1095,954030,120,43,Medium,2026-05-01
DT1096,516649,120,26,Medium,2026-03-07
DT1097,459559,81,14,Medium,2026-05-27
DT1098,978188,87,45,Low,2026-06-11
DT1099,821895,85,57,Low,2026-06-07
DT1100,452950,98,34,Low,2026-02-16
DT1101,197400,75,18,Low,2026-01-11
DT1102,83859,87,17,Low,2026-02-15
DT1103,501103,100,50,Low,2026-04-02
DT1104,109107,94,15,Low,2026-04-23
DT1105,144673,92,50,Low,2026-01-12
DT1106,510822,101,60,Low,2026-02-08
DT1107,872896,130,29,High,2026-06-05
DT1108,143745,76,26,Low,2026-03-22
DT1109,470176,119,58,Low,2026-02-27
DT1110,113832,82,43,Low,2026-01-04
DT1111,311804,111,23,Medium,2026-02-18
DT1112,881126,75,58,Low,2026-05-25
DT1113,721942,108,34,Medium,2026-05-12
DT1114,438613,91,34,Low,2026-01-20
DT1115,353383,119,28,Medium,2026-06-27
DT1116,53446,119,40,Low,2026-01-21
DT1117,358422,85,32,Low,2026-06-06
DT1118,689641,116,36,Medium,2026-01-24
DT1119,675297,100,33,Medium,2026-06-22
DT1120,124038,99,21,Low,2026-06-12
DT1121,498131,136,26,Medium,2026-06-18
DT1122,621135,95,32,Low,2026-01-09
DT1123,814119,78,56,Low,2026-06-22
DT1124,219193,99,31,Low,2026-02-04
DT1125,193007,87,25,Low,2026-01-03
DT1126,428651,82,24,Low,2026-03-05
DT1127,314316,127,13,High,2026-05-09
DT1128,594650,90,50,Low,2026-05-04
DT1129,395809,111,59,Low,2026-06-28
DT1130,849077,114,36,Medium,2026-02-01
DT1131,148114,89,47,Low,2026-01-25
DT1132,512362,124,60,Medium,2026-03-22
DT1133,239052,91,32,Low,2026-01-14
DT1134,269840,105,8,Medium,2026-04-05
DT1135,891945,85,19,Medium,2026-05-09
DT1136,491767,96,57,Low,2026-04-27
DT1137,370419,83,9,Medium,2026-01-26
DT1138,646595,125,25,High,2026-05-02
DT1139,719106,99,27,Medium,2026-03-20
DT1140,623993,118,9,High,2026-06-05
DT1141,373080,111,20,Medium,2026-04-07
DT1142,571660,80,35,Low,2026-01-28
DT1143,887977,94,18,Medium,2026-06-02
DT1144,626590,103,12,Medium,2026-04-19
DT1145,249040,126,44,Low,2026-06-27
DT1146,953635,130,53,Medium,2026-05-12
DT1147,128229,102,13,Medium,2026-04-02
DT1148,610918,114,52,Medium,2026-01-07
DT1149,758006,79,17,Medium,2026-06-17
DT1150,153401,81,34,Low,2026-06-16
DT1151,695151,124,29,Medium,2026-06-06
DT1152,724152,126,35,Medium,2026-06-22
DT1153,158981,86,10,Low,2026-02-05
DT1154,738404,92,58,Low,2026-06-22
DT1155,662084,113,31,Medium,2026-05-14
DT1156,790075,108,26,High,2026-04-28
DT1157,242967,86,8,Low,2026-05-20
DT1158,793697,93,41,Low,2026-05-22
DT1159,679797,87,37,Low,2026-06-08
DT1160,707374,136,9,High,2026-03-10
DT1161,897251,134,31,High,2026-06-24
DT1162,348022,118,20,Medium,2026-02-02
DT1163,443104,81,45,Low,2026-01-16
DT1164,891195,122,56,Medium,2026-04-22
DT1165,235810,88,50,Low,2026-05-03
DT1166,292775,124,16,High,2026-05-22
DT1167,797441,87,56,Low,2026-04-17
DT1168,842675,104,48,Medium,2026-05-16
DT1169,401532,115,46,Low,2026-06-28
DT1170,486478,109,29,Medium,2026-06-16
DT1171,235026,105,14,Medium,2026-06-23
DT1172,931465,81,52,Low,2026-05-23
DT1173,861389,93,31,Medium,2026-01-05
DT1174,204319,96,51,Low,2026-06-13
DT1175,830510,97,57,Medium,2026-05-08
DT1176,583338,98,57,Low,2026-04-17
DT1177,751085,75,38,Low,2026-02-09
DT1178,417192,139,48,Medium,2026-04-08
DT1179,120137,129,55,Low,2026-04-13
DT1180,384055,81,48,Low,2026-04-28
DT1181,486667,86,28,Low,2026-04-15
DT1182,65170,89,10,Low,2026-06-12
DT1183,432874,116,57,Low,2026-02-23
DT1184,624877,135,54,Medium,2026-05-23
DT1185,407724,104,10,Medium,2026-02-05
DT1186,735109,132,20,High,2026-06-27
DT1187,541673,129,48,Medium,2026-01-12
DT1188,730554,91,25,Medium,2026-03-18
DT1189,375855,84,30,Low,2026-02-26
DT1190,99186,90,43,Low,2026-02-17
DT1191,60540,137,40,Low,2026-04-13
DT1192,788485,138,12,High,2026-02-06
DT1193,416047,104,29,Low,2026-06-14
DT1194,822915,137,15,High,2026-04-03
DT1195,426517,140,32,Medium,2026-01-07
DT1196,319651,86,52,Low,2026-01-12
DT1197,233408,99,13,Medium,2026-01-14
DT1198,907857,132,54,Medium,2026-04-15
DT1199,799345,80,34,Medium,2026-01-04
DT1200,363655,139,33,Medium,2026-04-27
DT1201,935156,117,31,Medium,2026-03-03
DT1202,399295,98,15,Medium,2026-01-15
DT1203,460869,139,28,Medium,2026-01-27
DT1204,264558,111,28,Medium,2026-06-10
DT1205,209076,115,46,Low,2026-04-12
DT1206,287388,79,47,Low,2026-04-27
DT1207,213281,101,29,Low,2026-02-23
DT1208,548981,103,27,Medium,2026-02-07
DT1209,536067,136,58,Medium,2026-03-16
DT1210,706872,132,37,Medium,2026-03-14
DT1211,804636,112,13,High,2026-06-13
DT1212,958432,134,14,High,2026-05-28
DT1213,387748,123,44,Medium,2026-05-20
DT1214,606156,91,22,Medium,2026-01-06
DT1215,779979,128,58,Medium,2026-05-15
DT1216,759969,109,46,Medium,2026-02-25
DT1217,354684,97,41,Low,2026-02-23
DT1218,487511,85,45,Low,2026-04-18
DT1219,116246,122,37,Medium,2026-06-21
DT1220,191423,96,30,Low,2026-06-19
DT1221,184590,92,59,Low,2026-03-14
DT1222,211986,95,37,Low,2026-03-20
DT1223,293276,100,26,Medium,2026-02-19
DT1224,672942,81,56,Low,2026-03-25
DT1225,251127,132,9,High,2026-02-06
DT1226,859178,117,47,Medium,2026-06-26
DT1227,219106,116,10,Medium,2026-01-08
DT1228,93292,119,21,Medium,2026-01-06
DT1229,534265,130,19,High,2026-01-18
DT1230,599646,81,46,Low,2026-06-08
DT1231,736255,88,34,Low,2026-02-08
DT1232,754540,114,18,High,2026-04-25
DT1233,184056,122,55,Low,2026-04-01
DT1234,695381,137,27,High,2026-04-14
DT1235,810768,95,44,Low,2026-02-07
DT1236,289942,113,55,Low,2026-06-26
DT1237,512461,139,17,High,2026-06-19
DT1238,786478,100,18,Medium,2026-05-06
DT1239,293681,138,55,Medium,2026-01-04
DT1240,367351,97,52,Low,2026-01-16
DT1241,803938,126,22,High,2026-05-21
DT1242,889590,104,58,Medium,2026-05-14
DT1243,802936,84,58,Low,2026-03-09
DT1244,638945,113,25,Medium,2026-02-05
DT1245,697319,101,20,Medium,2026-01-22
DT1246,796336,86,34,Medium,2026-05-10
DT1247,561994,84,19,Medium,2026-04-11
DT1248,579275,84,35,Low,2026-05-10
DT1249,150501,132,48,Low,2026-01-05
DT1250,327941,117,16,Medium,2026-04-26
DT1251,834817,134,27,High,2026-01-23
DT1252,569107,136,30,Medium,2026-03-28
DT1253,180465,104,30,Low,2026-06-09
DT1254,330386,86,14,Medium,2026-01-21
DT1255,798343,119,31,Medium,2026-04-15
DT1256,456217,94,19,Low,2026-02-06
DT1257,730149,117,21,Medium,2026-06-15
DT1258,842526,93,60,Low,2026-06-18
DT1259,305696,129,31,Medium,2026-04-06
DT1260,320925,121,57,Medium,2026-04-18
DT1261,786579,130,51,Medium,2026-06-01
DT1262,791182,104,38,Medium,2026-02-22
DT1263,676845,104,17,Medium,2026-05-12
DT1264,516414,116,53,Medium,2026-01-21
DT1265,538901,118,37,Medium,2026-06-02
DT1266,298967,77,24,Low,2026-02-26
DT1267,334022,98,39,Low,2026-02-22
DT1268,857208,95,23,Medium,2026-05-05
DT1269,231485,110,58,Low,2026-04-18
DT1270,547457,82,32,Low,2026-05-14
DT1271,322258,116,58,Low,2026-02-03
DT1272,293466,131,49,Medium,2026-03-03
DT1273,434237,96,34,Low,2026-03-25
DT1274,529489,136,47,Medium,2026-01-02
DT1275,300788,93,37,Low,2026-04-08
DT1276,157936,138,10,Medium,2026-05-27
DT1277,702033,122,16,High,2026-02-08
DT1278,70837,83,12,Low,2026-05-18
DT1279,578622,136,42,Medium,2026-06-16
DT1280,355199,99,28,Low,2026-04-26
DT1281,708279,100,41,Low,2026-05-07
DT1282,916691,99,10,High,2026-06-22
DT1283,591831,99,48,Low,2026-03-09
DT1284,952640,135,26,High,2026-02-18
DT1285,909007,125,28,High,2026-02-08
DT1286,210042,84,31,Low,2026-06-08
DT1287,432487,88,47,Low,2026-04-28
DT1288,108902,77,31,Low,2026-05-25
DT1289,939133,80,49,Low,2026-05-13
DT1290,810956,118,49,Medium,2026-01-06
DT1291,716195,100,60,Low,2026-03-21
DT1292,481954,106,36,Medium,2026-05-21
DT1293,375324,100,45,Low,2026-03-10
DT1294,554751,107,48,Medium,2026-04-12
DT1295,584081,121,18,High,2026-04-16
DT1296,599694,83,49,Low,2026-02-05
DT1297,720833,130,55,Medium,2026-01-22
DT1298,428133,125,51,Medium,2026-04-21
DT1299,271196,101,29,Low,2026-01-07
DT1300,732182,104,18,Medium,2026-05-05
DT1301,324828,106,35,Medium,2026-02-19
DT1302,588719,123,32,Medium,2026-06-07
DT1303,55745,83,55,Low,2026-06-19
DT1304,790246,104,50,Medium,2026-02-08
DT1305,106336,138,29,Medium,2026-03-07
DT1306,754701,125,33,High,2026-05-03
DT1307,613678,114,49,Medium,2026-04-23
DT1308,239924,129,19,Medium,2026-03-08
DT1309,425151,79,19,Low,2026-04-21
DT1310,408257,133,58,Medium,2026-06-04
DT1311,69337,138,9,Medium,2026-05-23
DT1312,109791,126,12,Medium,2026-02-23
DT1313,150044,91,29,Low,2026-06-07
DT1314,973236,107,23,High,2026-02-25
DT1315,308265,131,9,High,2026-01-03
DT1316,581493,102,38,Low,2026-03-18
DT1317,194596,96,55,Low,2026-04-24
DT1318,552032,105,15,Medium,2026-04-04
DT1319,533789,83,50,Low,2026-06-12
DT1320,938513,84,17,Medium,2026-04-19
DT1321,609301,104,60,Low,2026-05-05
DT1322,311181,103,23,Medium,2026-02-03
DT1323,963083,109,57,Medium,2026-05-10
