TicketID,TruckModel,Region,Priority,Subject,Description,Category
DT00001,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00002,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00003,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00004,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00005,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00006,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00007,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00008,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00009,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00010,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00011,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00012,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00013,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00014,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00015,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00016,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00017,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00018,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00019,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00020,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00021,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00022,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00023,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00024,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00025,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00026,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00027,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00028,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00029,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00030,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00031,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00032,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00033,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00034,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00035,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00036,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00037,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00038,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00039,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00040,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00041,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00042,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00043,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00044,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00045,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00046,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00047,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00048,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00049,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00050,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00051,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00052,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00053,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00054,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00055,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00056,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00057,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00058,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00059,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00060,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00061,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00062,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00063,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00064,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00065,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00066,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00067,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00068,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00069,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00070,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00071,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00072,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00073,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00074,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00075,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00076,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00077,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00078,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00079,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00080,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00081,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00082,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00083,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00084,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00085,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00086,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00087,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00088,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00089,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00090,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00091,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00092,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00093,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00094,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
